DrugBank,B3DB
Enalapril,enalapril
Voriconazole,voriconazole
Fluticasone propionate,fluticasone propionate
Lisuride,lisuride
Ethosuximide,ethosuximide
Fluocinolone acetonide,fluocinolone-acetonide
Nizatidine,unii-p41pml4ghr
Thiopental,thiopental (thiopentone)
Cinalukast,cinalukast
Piperazine,piperazine citrate
Doxazosin,doxazosin mesylate
Nafcillin,nafcillin
Metaraminol,metaraminol
Cyclothiazide,cyclothiazide
Imatinib,imatinib
Paramethadione,paramethadione
Oxandrolone,oxandrolone
Amodiaquine,amodiaquine
Fluphenazine,fluphenazine
Bisoprolol,bisoprolol fumarate
Efavirenz,efavirenz
Clorazepic acid,chlorazepate
Alendronic acid,alendronate sodium
Astemizole,astemizole
Niacin,niacin
Simvastatin,simvastatin
Sulfacetamide,sulfacetamide
Dyclonine,dyclonine hydrochloride
Dextropropoxyphene,dextropropoxyphene
Butoconazole,butoconazole
Adenosine,vidarabine
Pentazocine,pentazocine
Stavudine,stavudine
Trazodone,trazodone
Mebendazole,mebendazole
Mitotane,mitotane
Estrone,estrone
Verapamil,verapamil
Dyphylline,dyphylline
Metaxalone,metaxalone
Flumethasone,flumethasone(flumetasoneanddiflorasone)
Sumatriptan,sumatriptan
Epinephrine,epinephrine
Mecamylamine,mecamylamine
Trimethobenzamide,trimethobenzamide
Galantamine,galanthamine
Sulfametopyrazine,sulfalene
Tamoxifen,s123
Nilutamide,nilutamide
Cefixime,cefixime
Thioridazine,thioridazine
Midazolam,midazolam
Benzyl benzoate,benzyl benzoate
Aprepitant,aprepitant
Isoflurophate,isoflurophate
Tobramycin,tobramycin
Cephaloglycin,cephaloglycin
Flurazepam,methylprednisolone
Moricizine,moricizine
Mycophenolate mofetil,mycophenolate mofetil
Daunorubicin,daunorubicin
Nitrofurantoin,nitrofurantoin
Phentolamine,phentolamine
Furosemide,furosemide
Amprenavir,amprenavir
Moexipril,moexipril
Naltrexone,naltrexone
Fluorescein,fluorescein
Delavirdine,doxorubicin
Sufentanil,sufentanil
Tizanidine,tizanidine
Ergotamine,ergotamine
Flurbiprofen,flurbiprofen
Nicergoline,nicergoline
Oxacillin,oxacillin
Tamsulosin,tamsulosin
Ibandronate,ibandronate
Apomorphine,apomorphine
Lamivudine,lamivudine
Norethisterone,norethindrone
Paroxetine,paroxetine
Diethylcarbamazine,diethylcarbamazine citrate
Procaine,procaine
Trimipramine,trimipramine
Adefovir dipivoxil,adefovir dipivoxil
Nedocromil,nedocromil
Azatadine,azatadine
Pralidoxime,pralidoxime
Risperidone,risperidone
Imiquimod,imiquimod
Lisinopril,lisinopril
Nitroglycerin,nitroglycerin
Clodronic acid,clodronic acid
Riluzole,riluzole
Hetacillin,hetacillin
Mannitol,d-mannitol
Hydrocortisone,cortisol
Meclizine,meclizine
Etodolac,etodolac
Modafinil,modafinil
Thiabendazole,thiabendazole
Epinastine,epinastine
Pentamidine,pentamidine
Isoflurane,isoflurane
Tretinoin,tretinoin
Zileuton,zileuton
Ethotoin,ethotoin
Tranylcypromine,tranylcypromine
Carbinoxamine,carbinoxamine
Mometasone,mometasone
Clopidogrel,clopidogrel
Irinotecan,irinotecan
Benzquinamide,benzquinamide
Meropenem,meropenem
Etoposide,etoposide
Hydrocortamate,hydrocortamate
Methimazole,methimazole
Alprostadil,alprostadil
Metyrosine,metyrosine
Nalidixic acid,nalidixicacid
Propiomazine,propiomazine
Phenelzine,phenelzine
Oxcarbazepine,oxcarbazepine
Olopatadine,olopatadine
Propantheline,propantheline
Acyclovir,aciclovir
Naproxen,naproxen
Malathion,malathion
Primidone,primidone
Perindopril,perindopril
Tripelennamine,tripelennamine
Uracil mustard,uramustine
Haloprogin,haloprogin
Halazepam,halazepam
Minaprine,minaprine
Alfentanil,trimethoprim
Candesartan cilexetil,candesartan cilexetil
Tolazoline,tolazoline
Tazarotene,tazarotene
Fenoldopam,fenoldopam
Biperiden,biperiden
Phenylbutazone,phenylbutazone
Fentanyl,fentanyl
Ribavirin,ribavirin
Indapamide,indapamide
Propofol,"propofol, diprivan"
Acetazolamide,acetazolamide
Pentoxifylline,pentoxifylline
Orciprenaline,metaproterenol
Tropicamide,tropicamide
Rosoxacin,rosoxacin
Enprofylline,enprofylline
Diazepam,diazepam
Trifluoperazine,117-89-5
Phenmetrazine,phenmetrazine
Mifepristone,mifepristone
Phensuximide,phensuximide
Loperamide,loperamide(1+)
Cinoxacin,cinoxacin
Cefaclor,cefaclor
Oxazepam,604-75-1
Donepezil,donepezil
Tolazamide,tolazamide
Brompheniramine,brompheniramine
Clofazimine,clofazimine
Flurandrenolide,flurandrenolide
Clocortolone,clocortolone
Perphenazine,perphenazine
Temozolomide,temozolomide
Methylphenobarbital,mephobarbital(methylphenobarbital)
Levorphanol,levorphanol
Nalbuphine,nalbuphine
Terbinafine,terbinafine
Prednisolone,prednisolone
Cysteamine,cysteamine
Vardenafil,vardenafil
Ranitidine,ranitidine base
Chlorphenesin,chlorphenesin
Alprenolol,alprenolol
Terbutaline,terbutaline sulfate
Benzphetamine,benzphetamine (benzfetamine)
Dorzolamide,dorzolamide
Flupentixol,flupentixol
Emtricitabine,ftc; emtricitabine
Conivaptan,conivaptan
Loteprednol etabonate,loteprednol etabonate
Chlorothiazide,chlorothiazide sodium
Chlorhexidine,chlorhexidine base
Eprosartan,eprosartan
Quinapril,quinapril
Isosorbide dinitrate,isosorbide dinitrate
Pemirolast,pemirolast
Risedronic acid,risedronate
Testolactone,testolactone
Triazolam,28911-01-5
Ethanol,ethanol
Mechlorethamine,mechlorethamine
Didanosine,didanosine
Sulfapyridine,sulfapyridine
Remifentanil,remifentanil
Oxybuprocaine,oxybuprocaine
Bumetanide,bumetanide
Ondansetron,ondansetron
Etacrynic acid,etacrynicacid
Tiagabine,tigabine
Methdilazine,methdilazine
Zonisamide,zonisamide
Anileridine,anileridine
Repaglinide,repaglinide
Amantadine,ornidazole
Phenformin,phenformin
Buprenorphine,buprenorphine
Cyclobenzaprine,cyclobenzaprine
Ceforanide,ceforanide
Dinoprostone,dinoprostone
Phenoxybenzamine,phenoxybenzamine
Almotriptan,almotriptan
Mesoridazine,mesoridazine
Ketotifen,ketotifen
Salicylic acid,salicylic acid (2-hydroxybenzoic acid)
Maprotiline,maprotiline
Etretinate,"9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethylnona-2,4,6,8-tetraenoic acid ethyl ester"
Methantheline,methantheline
Oxymetazoline,oxymetazoline
Zalcitabine,"2',3'-dideoxycytidine (zalcitabine)"
Acetylsalicylic acid,50-78-2
Felbamate,felbamate
Fexofenadine,fexofenadine (allegra)
Mezlocillin,mezlocillin
Naratriptan,naratriptan
Hexafluronium,hexafluronium
Hydrocodone,hydrocodone
Netilmicin,netilmicin
Pindolol,pindolol
Phenprocoumon,phenprocoumon
Zaleplon,zaleplon
Rizatriptan,rizatriptan
Bromfenac,bromfenac
Telmisartan,telmisartan
Desloratadine,desloratadine
Dipyridamole,dipyridamole
Ethinylestradiol,ethinyl estradiol
Alosetron,alosetron
Isotretinoin,isotretinoin (13-cis-retinoic acid)
Physostigmine,eserine
Edetic acid,edta
Glycopyrronium,glycopyrrolate
Rivastigmine,rivastigmine
Cyclopentolate,cyclopentolate
Formoterol,formoterol
Ramelteon,ramelteon
Gabapentin,gabapentin
Doxorubicin,doxorubicin
Salbutamol,salbutamol 
Cyclacillin,cyclacillin
Azathioprine,azathioprine
Methyl aminolevulinate,methyl aminolevulinate
Tioconazole,tz-3
Cromoglicic acid,cromoglicicacid
Letrozole,letrozole
Glyburide,glibenclamide
Clobetasol propionate,clobetasol-propionate
Bethanechol,gr94839_f
Edrophonium,edrophoniumchloride
Trichlormethiazide,trichlormethiazide
Felodipine,felodipine
Metyrapone,metyrapone
Methoxyflurane,methoxyflurane
Isosorbide mononitrate,isosorbide mononitrate
Topotecan,topotecan
Probenecid,probenecid
Mercaptopurine,6-mercaptopurine
Ketoconazole,cefazolin
Mycophenolic acid,mycophenolic acid
Selegiline,selegiline
Carphenazine,carphenazine
Thalidomide,thalidomide
Amlexanox,amlexanox
Procainamide,procainamide
Irbesartan,irbesartan
Memantine,memantine
Tolterodine,tolterodine
Abacavir,abacavir
Ibuprofen,ibuprofen 
Fluocinonide,fluocinonide
Melphalan,melphalan
Fenofibrate,fenofibrate
Benzylpenicillin,benzylpenicillin
Novobiocin,novobiocin sodium
Norfloxacin,norfloxacin
Gatifloxacin,gatifloxacin
Amoxicillin,amoxicillin
Tocainide,tocainide
Acetophenazine,acetophenazine
Isoprenaline,isoproterenol hydrochloride
Echothiophate,echothiophate
Promethazine,promethazine
Clonazepam,clonazepam
Oxybutynin,oxybutynin
Cefditoren,cefditoren
Atorvastatin,atorvastatin
Diphenhydramine,diphenhydramine
Vigabatrin,vigabatrin
Perhexiline,perhexiline
Streptomycin,streptomycin
Etidronic acid,etidronic acid
Glipizide,glipizide
Benzocaine,ethyl 4-aminobenzoate (benzocaine)
Deserpidine,deserpidine
Emedastine,emedastine
Pentolinium,pentolinium
Oxamniquine,oxamniquine
Pimozide,maprotiline
Fluvastatin,chebi:38562
Leflunomide,leflunomide
Sertraline,sertraline
Sibutramine,sibutramine
Rosuvastatin,rosuvastatin
Methyprylon,methyprylon
Chlorpheniramine,chlorpheniramine
Quinacrine,quinacrine
Capecitabine,capecitabine
Amiodarone,amiodarone
Cefuroxime,cefuroxim
Phenacemide,phenacemide
Trimethaphan,trimethaphan
Gliclazide,unii-g4px8c4hkv
Econazole,econazole
Proflavine,proflavine
Anisindione,anisindione
Prednicarbate,prednicarbate
Bicalutamide,bicalutamide
Diazoxide,diazoxide
Tiludronic acid,tiludronate disodium
Pioglitazone,pioglitazone
Cefapirin,cephapirin (cefapirin)
Doxepin,doxepin
Carvedilol,carvedilol
Cefadroxil,cefadroxil
Amifostine,amifostine
Nefazodone,nefazodone
Desipramine,2qju
Diclofenamide,dichlorphenamide
Sulfoxone,sulfoxone
Diphenylpyraline,diphenylpyraline
Sulfinpyrazone,sulfinpyrazone
Thiamylal,thiamylal
Bupropion,bupropion (zyban)
Flavoxate,flavoxate
Halothane,halothane
Bretylium,bretylium
Ofloxacin,ofloxacin
Amdinocillin,mecillinam
Itraconazole,itraconazole
Sertaconazole,sertaconazole
Terazosin,terazosin
Guanethidine,guanethidinesulfate
Moclobemide,teflurane
Cilostazol,cilostazol
Phenobarbital,phenobarbital
Escitalopram,escitalopram
Idarubicin,dm5
Chlormezanone,chlormezanone
Propafenone,propafenone
Domperidone,domperidone
Cyclizine,cyclizine
Pergolide,pergolide
Ifosfamide,ifosfamide
Desflurane,desflurane (suprane)
Oxymorphone,oxymorphone
Acebutolol,acebutolol
Fluoxymesterone,fluoxymesterone
Iophendylate,ethyl 10-(2-iodophenyl)undecanoate
Ciclopirox,ciclopirox
Clindamycin,clindamycin
Bromocriptine,bromocriptine
Levetiracetam,levetiracetam
Brinzolamide,brinzolamide
Estramustine,estramustine
Flumazenil,78755-81-4
Flecainide,flecainide acetate
Captopril,captopril
Sparfloxacin,sparfloxacin
Lomustine,lomustine
Ceftriaxone,ceftriaxone
Mitoxantrone,mitoxantrone
Dezocine,dezocine
Levobunolol,levobunolol
Estazolam,estazolam
Ketamine,ketamine
Quetiapine,quetiapine
Fomepizole,fomepizole
Halofantrine,halofantrine hydrochloride
Levacetylmethadol,levomethadyl acetate
Dexamethasone,dexamethasone
Pemoline,pemoline
Levodopa,levodopa
Anastrozole,anastrozole
Metoclopramide,metoclopramide
Sevoflurane,sevoflurane
Dantrolene,dantrolene
Chlorprothixene,chlorprothixene
Bromodiphenhydramine,bromodiphenhydramine
Aripiprazole,"aripiprazole, abilify"
Clomipramine,clomipramine
Bepridil,bepridil
Alimemazine,alimemazine
Isocarboxazid,isocarboxazid
Epoprostenol,epoprostenol
Chloroxine,chloroxine
Decamethonium,decamethonium
Dasatinib,dasatinib
Gliquidone,gliquidone
Gemfibrozil,gemfibrozil
Lapatinib,lapatinib
Desonide,desonide
Paliperidone,paliperidone
Arformoterol,formoterol
Sunitinib,sunitinib
Fenoterol,fenoterol
Varenicline,varenicline
Glisoxepide,glisoxepide
Nelarabine,nelarabine
Practolol,practolol
Bevantolol,bevantolol
Fosphenytoin,fosphenytoin
Polythiazide,polythiazide
Sulfacytine,sulfacytine
Cefazolin,cefazolin
Cefonicid,cefonicid
Quinethazone,quinethazone
Sulfadoxine,sulfadoxine
Cefradine,cephradine (cefradine)
Ceftizoxime,ceftizoxime
Pancuronium,pancuronium bromide
Vecuronium,vecuronium bromide
Amobarbital,amobarbital
Pipecuronium,pipecuronium bromide
Butobarbital,5-butyl-5-ethyl barbituric acid (butethal)
Aprobarbital,aprobarbital
Forasartan,forasartan
Hexobarbital,56-29-1
Heptabarbital,heptabarb
Mestranol,mestranol
Saprisartan,saprisartan
Ephedrine,ephedrine
Rasagiline,rasagiline
Cortisone acetate,cortisone acetate
Iohexol,iohexol
Paramethasone,paramethasone
Mibefradil,mibefradil
Yohimbine,yohimbine
Colchicine,colchicine
Methotrimeprazine,methotrimeprazine
Bezafibrate,bezafibrate
Temafloxacin,temafloxacin
Ciclesonide,ciclesonide
Theobromine,"theobromine (3,7-dimethylxanthine)"
Clenbuterol,clenbuterol
Bambuterol,bambuterol
Ceftibuten,ceftibuten
Cefacetrile,cefacetrile
Aminophenazone,aminophenazone
Cefpodoxime,cefpodoxime
Antrafenine,antrafenine
Acenocoumarol,acenocumarol
Stepronin,stepronin
Methadyl acetate,levacetylmethadol
Antipyrine,antipyrine ok
Glutethimide,piperacillin
Amrinone,amrinone
Bufotenine,bufotenine
gamma-Hydroxybutyric acid,gamma hydroxybutyric acid
Diamorphine,diacetylmorphine
Haloxazolam,haloxazolam
Fenethylline,fenethylline
Barbital,barbital
Embutramide,embutramide
Camazepam,camazepam
Cathine,cathine
Alphamethadol,alphamethadol
Alphameprodine,alphameprodine/betameprodine
Dipipanone,dipipanone
Difenoxin,difenoxin
Hydromorphinol,hydromorphinol
Delorazepam,delorazepam
Betacetylmethadol,alphacetylmethadol
Dextromoramide,dextromoramide
Chlorhexadol,chloralodol
Carfentanil,carfentanil
Desomorphine,desomorphine
Flunitrazepam,1622-62-4
Etryptamine,etryptamine
Ethyl loflazepate,ethyl-loflazepate
Dihydrocodeine,dihydrocodeine
Diprenorphine,diprenorphine
Cloxazolam,cloxazolam
Alphacetylmethadol,alphacetylmethadol
Clotiazepam,clotiazepam
Bromazepam,bromazepam
Cathinone,cathinone
Chloral hydrate,chloralhydrate
Fludiazepam,fludiazepam
Dextroamphetamine,"dextroamphetamine, dexedrine"
Metamfetamine,methamphetamine
Oxprenolol,oxprenolol
Phendimetrazine,phendimetrazine
Ketazolam,ketazolam
Prazepam,prazepam
Quazepam,quazepam
Nitrazepam,nitrazepam
Cinolazepam,cinolazepam
Sulfamerazine,sulfamerazine
Meticillin,methicillin
Imipenem,imipenem
Pivampicillin,pivampicillin
Probucol,probucol
Tiaprofenic acid,tiaprofenic
Valganciclovir,valganciclovir
Tazobactam,tazobactam
Periciazine,pericyazine
Acepromazine,acepromazine
Aceprometazine,aceprometazine
Molindone,molindone
Hydroxychloroquine,hydroxychloroquine
Amyl Nitrite,pentyl nitrite
Pipotiazine,pipotiazine
Thioproperazine,thioproperazine
Pargyline,pargyline
Thiothixene,thiothixene (tiotixene)
Zuclopenthixol,clopenthixol/zuclopenthixol
Phenindamine,phenindamine
Isopropamide,isopropamide iodide
Etoricoxib,etoricoxib
Roflumilast,roflumilast
Propyl acetate,propyl acetate 
Camphor,d-camphor
"5,7-Dichlorokynurenic acid",dcka
Rolipram,rolipram
Alrestatin,alrestatin
Cytidine,cytarabine
Butyl alcohol,1-butanol
Equilin,equilin
Flufenamic acid,flufenamic
Isoamyl alcohol,3-methyl-1-butanol (isopentanol)
Isopropyl alcohol,2-propanol (isopropanol)
Carbenoxolone,carbenoxolone
Aminobenzoic acid,4-aminobenzoic acid
Fusidic acid,fusidic acid
Nicotinamide,nicotinamide
Sucrose,sucrose
Pregnenolone,pregnenolone
Piretanide,piretanide
Fosmidomycin,fosmidomycin
Oxitriptan,oxitriptan
Bromoform,bromoform
Propyl alcohol,propan-1-ol
(6R)-Folinic acid,calcium-folinate
Phenol,phenol
Cephalosporin C,cephalosporin-c
Brequinar,brequinar
Isopenicillin N,isopenicillin n
Phencyclidine,phencyclidine
Oxyphenbutazone,oxyphenbutazone
(S)-Rolipram,(s)-(+)-rolipram
Piritrexim,piritrexim
Ethylene Dichloride,"1,2-dichloroethane"
Tromethamine,trometamol
L-Eflornithine,l-eflornithine
N-Propargyl-1(S)-Aminoindan,185517-74-2
tert-butanol,tert-butylalcohol
Urea,urea
Clorgiline,clorgiline
Nicotinyl alcohol,nicotinyl alcohol
Valpromide,valpromide
Aceglutamide,aceglutamide
Arecoline,arecoline
Lactic acid,lactic acid
Niflumic acid,niflumic acid
Fleroxacin,fleroxacin
Trioxsalen,trioxsalen
Aniracetam,aniracetam
Cycloleucine,cycloleucine
Aldosterone,aldosterone
Metoprine,metoprine
Corticosterone,corticosterone
Camptothecin,camptothecin
Nimesulide,nimesulide
Bifonazole,bifonazole
Clioquinol,clioquinol
Neamine,neomycin
Iproniazid,iproniazid
Benoxaprofen,benoxaprofen
Bithionol,bithionol
Methapyrilene,methapyrilene
Metamizole,dipyrone
Nomifensine,nomifensine
Nialamide,nialamide
Phenolphthalein,phenolphthalein
Urethane,urethane
Zimelidine,zimeldine
Tienilic acid,ticrynafen
Methaqualone,morphine
Amineptine,survector
Fluspirilene,fluspirilene
Cyclandelate,cyclandelate
Mepenzolate,mepenzolatebromide
Tetrabenazine,tetrabenazine (tetrabenzine)
Debrisoquine,debrisoquine
Flunarizine,flunarizine
Febuxostat,febuxostat
Zanapezil,zanapezil
Nebivolol,nebivolol
Vatalanib,"ptk-787, vatalanib"
Nilotinib,nilotinib
Elacridar,elacridar
Enoximone,enoximone
Dapoxetine,dapoxetine
Bepotastine,4-(4-((4-chlorophenyl)(pyridin-2-yl)methoxy)piperidin-1-yl)butanoic acid
Phenserine,phenserine
Pagoclone,pagoclone
Milnacipran,milnacipran
Clevidipine,clevidipine
Iloperidone,iloperidone
Permethrin,permethrin
Tamibarotene,tamibarotene
Ezogabine,ezogabine
Lofexidine,lofexidine
Lesopitron,lesopitron
Pirfenidone,pirfenidone
Lucanthone,lucanthone
Ganaxolone,ganaxolone
Methsuximide,methsuximide(mesuximide)
Ibudilast,ibudilast
Histamine,histamine phosphate
CP-122721,cp-122721
Levoketoconazole,ketoconazole
Perflubron,perflubron
SNS-032,sns-032
Sertindole,sertindole
Mianserin,24219-97-4
Nylidrin,nylidrin
Pizotifen,pizotifen
Sulfathiazole,sulfathiazole
Acetylcysteine,acetylcysteine
Sulfadimethoxine,sulfadimethoxine
Pentaerythritol tetranitrate,pentaerythritol tetranitrate
Rimonabant,rimonabant
Noscapine,noscapine
Alovudine,alovudine
Rufinamide,rufinamide
Asenapine,org-5222
Prasugrel,prasugrel
Nalmefene,nalmefene
Ocaperidone,ocaperidone
Amrubicin,amrubicin
Udenafil,udenafil
Sitaxentan,sitaxentan
Amisulpride,amisulpride
Levocetirizine,levocetirizine
Xaliproden,xaliproden
Bazedoxifene,bazedoxifene
Declopramide,declopramide
Ticalopride,ticalopride
Etravirine,etravirine
Armodafinil,armodafinil
Talnetant,nalorphine
Semaxanib,semaxanib
Remacemide,remacemide
Clomethiazole,clomethiazole
Prucalopride,prucalopride
Tramiprosate,"tramiprosate, alzhemed"
Ocinaplon,ocinaplon
Robalzotan,robalzotan
Gaboxadol,gaboxadol
Dextofisopam,tofisopam
Apixaban,apixaban
Tafenoquine,tafenoquine
Bosutinib,bosutinib
Flupirtine,flupirtine
Axitinib,axitinib
Dalfampridine,4-aminopyridine
Esmirtazapine,esmirtazapine
Nitrous oxide,nitrous oxide
Mepyramine,mepyramine (pyrilamine)
Mevastatin,mevastatin
Arbekacin,arbekacin
Betahistine,betahistine (y-g 14)
Vilazodone,vilazodone
Xylometazoline,xylometazoline
